fid,levl_code,cntr_code,name_latn,mount_type,urbn_type,coast_type,shape_leng,cntr_name,shape_Length,shape_Area,NUTS_ID,NUTS_NAME,dens_2015,dens_2019,dens_2021,dens_2022,dens_2023,dens_cambio_pct,n_pixeles,frac_urbano_denso,frac_urbano_disperso,frac_industrial,frac_transporte,frac_otro_artificial,frac_agricola,frac_natural,frac_artificial,area_industrial_km2,area_artificial_km2,n_instalaciones,nox_total_t,n_estaciones,no2_estaciones,no2_fondo,area_km2,dens_instal,nox_por_km2,log_dens_pob,poblacion,n_celdas,no2_areal,no2_poblacion,no2_p90,no2_max,sup_sobre_20,sup_sobre_40,pob_sobre_20,pob_sobre_10,prob_media_20,brecha_exposicion
480,3,ES,Granada,3,2,1,658005.170911,Spain,828620.520678303,20031555726.8085,ES614,Granada,72.9,73.2,73.5,73.8,74.4,2.0576131687242816,1264820,0.00561819073069685,0.00506949605477459,0.00319808352176594,0.00132588036242311,0.00290792365712117,0.500577947850287,0.48130247782293134,0.01811957432678167,40.45,229.18,2,1709.4,5,15.786709852400492,11.617960160091187,12647.990650627307,0.15812788412369716,0.13515190256052398,4.309455941839047,941010.5044066717,3160,3.942361525797182,5.090656551931487,4.216270171426005,17.85051294005396,0,0,0,0.056612387983441634,0.006198852843400601,1.1482950261343055
481,3,ES,Araba/Álava,3,1,3,597861.2309119999,Spain,815046.7483117612,5651549383.089096,ES211,Araba/Álava,106.8,109.2,109.5,111.3,112,4.8689138576779145,303729,0.00196556798988572,0.01073325234007947,0.01374580629442694,0.00569257463067405,0.0037862699972673,0.3753971467986264,0.5886793819490401,0.03592347125233349,41.75,109.11,5,1895.4,7,10.868737818853043,6.30533181689243,3037.497415543148,1.646091935556735,0.6240005309308471,4.718498871295094,340199.71054083254,765,4.580755265654233,6.144704937648774,5.649794280634671,19.190250415794885,0,0,0,0.12724826747271933,0.03839765502027747,1.563949671994541
482,3,ES,Gipuzkoa,2,1,1,257788.048363,Spain,353516.7643211559,3720698475.195811,ES212,Gipuzkoa,359.4,362.3,363.1,367.4,369.1,2.698942682248195,198012,0.01068117083813102,0.01608993394339737,0.02618528170009898,0.00630264832434397,0.00531785952366523,0.2169262468941276,0.7184968587762358,0.06457689432963659,51.85,127.87,9,1795.8333333333335,15,14.760098348419014,10.256732220435138,1979.924634261706,4.54562756796852,0.9070210563863113,5.911067610035953,730790.1825059957,497,6.161397505839964,8.45630560706321,8.43465524992273,17.506419034146603,0,0,0,0.23673667308326757,0.025333363002088344,2.294908101223247
483,3,ES,Palencia,4,2,3,677467.573082,Spain,917353.6636356546,14760906210.304419,ES414,Palencia,20.6,20,19.8,19.7,19.7,-4.368932038834961,805084,4.9063203342756e-4,0.00620307943022094,0.00390021413914572,0.00148059084517888,0.00180229640633772,0.6783366704592316,0.30778651668645757,0.01387681285431085,31.4,111.72,4,1322.8,3,7.880304348314755,NA,8051.012318462458,0.4968319314115644,0.16430231971780435,2.9806186357439426,158604.9426737104,2011,3.9045350350777293,4.0375124906331665,4.105060349656469,13.966646774323262,0,0,0,0.005407029556764271,8.549807253067299e-4,0.13297745555543727
500,3,ES,Cantabria,2,2,1,610470.1274229999,Spain,837132.1666229984,10027166351.734838,ES130,Cantabria,110.9,110.5,110.7,111.4,111.9,0.901713255184844,532663,0.00237110518282666,0.02109025781779474,0.00427474782367087,0.00207072764580982,0.00337924729143942,0.28735429342755175,0.6794596208109067,0.03318608576154153,22.77,176.77,8,3864.8998333333334,11,11.712261240712948,9.67346072241709,5326.425575970982,1.501945326353619,0.7256085301874852,4.71760561531788,596027.021951153,1324,4.088256053817701,5.6244320512398005,5.565722567924616,21.93306700823092,0.0015105740181268882,0,0.05091474070617007,0.10153926810287585,0.03187850242063547,1.5361759974220996
510,3,ES,La Rioja,2,2,3,540339.030173,Spain,730512.0060443719,9223669769.023714,ES230,La Rioja,62.2,62.6,62.8,63.8,64.2,3.215434083601276,504666,0.00313078352811562,0.0055363349225032,0.00706804104100533,0.00119088664582119,0.00270277767870234,0.371489262205102,0.6088819139787504,0.01962882381614771,35.67,99.06,5,2313.8,5,8.946229495814109,17.179673970366657,5046.536407513871,0.9907785451731642,0.4584926795643335,4.162003210695915,323987.6373623906,1256,4.0385999347344965,4.916130264031896,4.456996376521123,17.092477975781748,0,0,0,0.042414824501359846,0.008717921412207915,0.8775303292973993
520,3,ES,Teruel,3,3,3,824822.668345,Spain,1088023.9602372004,25764882909.958527,ES242,Teruel,9.3,9,9,9.1,9.1,-2.1505376344086113,1480972,6.0095666899846e-4,0.00210537403813171,0.00133358361940671,3.8960898653046e-4,0.00285083040057475,0.36975783471936,0.6229618115669979,0.00728035371364212,19.75,107.82,4,1912.8333333333333,2,6.065308116649305,6.065308116649305,14810.043736897316,0.27008698090705263,0.12915784499459346,2.2082744135228043,134771.39800576557,3712,3.7781476803022205,3.8147901737513727,4.033123334616653,9.119804659262858,0,0,0,0,1.1506631649611045e-5,0.03664249344915227
564,3,ES,Pontevedra,2,2,1,632211.427366,Spain,857635.8923408951,8255442570.725669,ES114,Pontevedra,211.9,211.2,211.5,212,212.3,0.18876828692779848,449377,0.00392988515211058,0.03956588788478271,0.00674266818283979,9.6800681832848e-4,0.00330457500050069,0.29183514065027805,0.6536538363111597,0.05451102303856228,30.3,244.96,2,783.5333333333334,8,13.412055616522727,4.219515895907802,4493.821954083241,0.4450554606825781,0.17435789431341137,5.35800036870921,954038.400851872,1113,4.235016902059465,6.200278948850253,5.302037928988426,19.213331358534383,0,0,0,0.11575537682616258,0.03191421784432872,1.9652620467907882
602,3,ES,Ourense,3,3,3,555585.808645,Spain,750702.4986509429,13259097690.934624,ES113,Ourense,44,42.7,42.5,42.3,42.3,-3.863636363636369,727214,0.00146174303575013,0.00635163789476,0.00127335282324047,3.1902576133022e-4,0.00541243705429213,0.2213873770306952,0.7637944263999318,0.01481819656937297,9.26,107.76,1,1119.2,3,8.751807908646123,1.1153937412963912,7272.300067874105,0.13750807731622217,0.15389904013231584,3.744787086052232,307618.2928710746,1826,3.690249885709426,4.258578623548667,4.092378882152074,13.983069328100841,0,0,0,0.038631743142095276,0.004899014531014318,0.568328737839241
611,3,ES,Asturias,2,2,1,710000.5177879999,Spain,974946.735713429,20020120904.528355,ES120,Asturias,99,96.6,96.2,95.2,95.4,-3.6363636363636265,1060206,0.00257025521455264,0.01044985597138669,0.00578661128120384,0.00217976506452519,0.00322012891834228,0.25062865141302726,0.7251647321369621,0.02420661645001065,61.35,256.64,17,13419.066666666666,22,12.618408248766347,8.882463252718063,10601.864081815387,1.6034916000440784,1.265727098848911,4.558078578454241,1011417.833405188,2649,4.3146610428378285,5.822025952912181,5.066074228486529,20.24312892996248,0,0,0,0.12510011784450853,0.02327290049534711,1.5073649100743527
