join_id,tipo,area,no2_media,pred_fondo,recargo
SP_12093004_8_8,industrial,rural,2.214972277627248,3.6908327566531334,-1.4758604790258856
SP_13071015_8_8,industrial,suburban,9.569334440906497,7.231299406395372,2.3380350345111243
SP_13071017_8_8,industrial,suburban,11.296889788374328,6.888951746905812,4.407938041468515
SP_13071018_8_8,traffic,urban,14.993204293527112,9.700363062917686,5.292841230609426
SP_13071019_8_8,industrial,suburban,8.94466060870317,9.312660093308105,-0.36799948460493503
SP_14021009_8_8,traffic,urban,24.88913794557629,12.812536844365534,12.076601101210757
SP_15005011_8_8,industrial,rural,12.83375149661007,4.780500956101875,8.053250540508195
SP_15005012_8_8,industrial,suburban,9.376193883755995,5.862929208791845,3.51326467496415
SP_15005015_8_8,industrial,suburban,12.460041442770478,7.630037012620787,4.830004430149692
SP_15023004_8_8,industrial,urban,7.620285573639611,6.463919901273082,1.1563656723665297
SP_15024005_8_8,industrial,rural,6.32637814566386,4.153023395920388,2.1733547497434715
SP_15030001_8_8,traffic,urban,13.758410322968595,10.59008260182893,3.168327721139665
SP_15030021_8_8,industrial,urban,22.296540031464737,9.407190274184698,12.889349757280039
SP_15030028_8_8,industrial,suburban,6.711174544916782,5.935816866313464,0.7753576786033181
SP_15032001_8_8,industrial,suburban,4.730410930704633,4.757726865377774,-0.02731593467314042
SP_15034008_8_8,industrial,rural,3.58221020874625,3.9990537132712363,-0.4168435045249863
SP_15036003_8_8,traffic,urban,8.34876105397634,18.50346246665116,-10.154701412674822
SP_15036004_8_8,industrial,suburban,6.0508809302553175,7.291691411473756,-1.2408104812184382
SP_15041001_8_8,industrial,rural,8.783520130300124,4.338981550255876,4.444538580044248
SP_15051001_8_8,industrial,suburban,10.850286534118055,6.432851870352507,4.417434663765548
SP_15059004_8_8,industrial,rural,5.392767493972365,4.055952224518814,1.3368152694535516
SP_15070002_8_8,industrial,suburban,2.864453346547488,6.012787631724437,-3.1483342851769485
SP_15070006_8_8,industrial,rural,1.5994755317133074,3.913470758438687,-2.31399522672538
SP_15070010_8_8,industrial,rural,2.453725562104526,5.215041730581152,-2.7613161684766263
